id,geologic_unit_gid,unit_link,strat_name_id,unit_id,addition,removal
398,,IDKi;0,4763,,FALSE,TRUE
399,,WAEOv2;0,4763,,FALSE,TRUE
400,,WAQg1t;0,4763,,FALSE,TRUE
401,,WAMIPOv;0,4763,,FALSE,TRUE
402,,IDQTvs;0,4763,,FALSE,TRUE
403,,IDQpg;0,4763,,FALSE,TRUE
404,,WAJ;0,4763,,FALSE,TRUE
405,,MTpCAsi;0,4763,,FALSE,TRUE
406,,MTKm;0,4763,,FALSE,TRUE
407,,IDJwm;0,4763,,FALSE,TRUE
408,,WAQg1o;0,4763,,FALSE,TRUE
409,,WACPs;0,4763,,FALSE,TRUE
410,,IDQpmd;0,4763,,FALSE,TRUE
411,,IDTZmig;0,4763,,FALSE,TRUE
412,,WASD;0,4763,,FALSE,TRUE
413,,MTKce;0,4763,,FALSE,TRUE
414,,MTCAu;0,4763,,FALSE,TRUE
415,,IDTpf;0,4763,,FALSE,TRUE
416,,IDM;0,4763,,FALSE,TRUE
417,,IDQrb;0,4763,,FALSE,TRUE
418,,IDDS;0,4763,,FALSE,TRUE
419,,MTDu;0,4763,,FALSE,TRUE
420,,IDZs;0,4763,,FALSE,TRUE
421,,MTpCAs;0,4763,,FALSE,TRUE
422,,WAQce;0,4763,,FALSE,TRUE
423,,WAQv;0,4763,,FALSE,TRUE
424,,WAMIPOc;0,4763,,FALSE,TRUE
425,,IDKi;0,9442,,FALSE,TRUE
426,,IDKi;0,9044,,FALSE,TRUE
427,,IDKi;0,2677,,FALSE,TRUE
428,,IDKi;0,8181,,FALSE,TRUE
429,,IDKi;0,8188,,FALSE,TRUE
430,,IDKi;0,8117,,FALSE,TRUE
431,,IDTevf;0,4458,,TRUE,FALSE
432,,IDTevr;0,4458,,TRUE,FALSE
433,,ORKJi;0,1961,,FALSE,TRUE
434,,ORKJi;0,1351,,FALSE,TRUE
435,,ORTvs;0,2225,,FALSE,TRUE
436,,NVTbg;0,930,,FALSE,TRUE
437,,NVTbg;0,601,,FALSE,TRUE
438,,NVTbg;0,4312,,TRUE,FALSE
439,,MAJpc;0,4768,,FALSE,TRUE
440,,MAJpc;0,5785,,TRUE,FALSE
443,,MDuf;3,4774,,TRUE,FALSE
444,,MDms;3,4772,,TRUE,FALSE
445,,MDif-ms;3,4772,,TRUE,FALSE
446,,MDwlps;4,2325,,TRUE,FALSE
447,,MDsrl;3,3809,,TRUE,FALSE
448,,MDsf;4,1866,,TRUE,FALSE
449,,MDcm;4,5055,,TRUE,FALSE
450,,MDwmg;4,7654,,TRUE,FALSE
451,,MDwmg;4,2325,,TRUE,FALSE
452,,PAPZm;0,4772,,TRUE,FALSE
453,,NYOht;3,9959,,FALSE,TRUE
454,,NYOht;3,4288,,TRUE,FALSE
455,,VACAZmy;0,24,,TRUE,FALSE
456,,VACAZas;0,1185,,FALSE,TRUE
459,,OHStg;0,3931,,FALSE,TRUE
462,,OHStg;0,4002,,FALSE,TRUE
463,,OHStg;0,4002,,TRUE,FALSE
464,,OHStg;0,3931,,TRUE,FALSE
465,,OHMlc;0,3704,,TRUE,FALSE
466,,OHMlc;0,485,,TRUE,FALSE
467,,OHMlc;0,1156,,TRUE,FALSE
468,,MDDhn;1,7553,,TRUE,FALSE
469,,MDDhn;1,4162,,TRUE,FALSE
470,,MDDhn;1,1196,,TRUE,FALSE
471,,MDDhn;1,7567,,TRUE,FALSE
472,,WVStw;0,3845,,TRUE,FALSE
473,,WVStw;0,2303,,TRUE,FALSE
474,,WVStw;0,2297,,TRUE,FALSE
475,,VAOun;0,3376,,TRUE,FALSE
476,,VAOun;0,1236,,TRUE,FALSE
477,,VAOun;0,594,,TRUE,FALSE
478,,MNCu;0,2858,,FALSE,TRUE
479,,MNCu;0,2901,,FALSE,TRUE
480,,MNOl;0,1876,,TRUE,FALSE
481,,MNOl;0,3971,,TRUE,FALSE
482,,TXPAlb;0,2383,,FALSE,TRUE
483,,TXPAmw;0,2383,,FALSE,TRUE
484,,TXPAmw;0,2660,,TRUE,FALSE
485,,TXPn;0,2707,,TRUE,FALSE
486,,TXPp;0,2707,,TRUE,FALSE
487,,AROse;0,3425,,TRUE,FALSE
488,,AROse;0,633,,TRUE,FALSE
489,,MOOspe;0,3425,,TRUE,FALSE
490,,MOOspe;0,633,,TRUE,FALSE
491,,OHMDsd;0,4039,,TRUE,FALSE
492,,OHMDsd;0,4242,,TRUE,FALSE
493,,VATl;0,5540,,TRUE,FALSE
494,,VATl;0,55,,TRUE,FALSE
495,,VATl;0,244,,TRUE,FALSE
496,,VATl;0,1586,,TRUE,FALSE
