CMA #,COG ID,NGMDB Product Link,Pixel Space COG Link,NGMDB ProdID,NGMDB ItemID,Process?,Results Ready?,Georeferenced Results Link,Pixel Space Results Link,Comments
2,7081634d233d349d0b9b059d174d656d2aad60cd55dd718d314dc153849c9080,https://ngmdb.usgs.gov/Prodesc/proddesc_1388.htm,Download,1388,74285,,,,,
2,c0c407b21bba19a3259325b361934d924d9325938c5b86a253b21fb416b2c0f1,https://ngmdb.usgs.gov/Prodesc/proddesc_1388.htm,Download,1388,74284,,,,,
2,6cdd097819de58de019e439f4edf245b661b471b471bc365c2d79495c4d544d1,https://ngmdb.usgs.gov/Prodesc/proddesc_9381.htm,Download,9381,1363,,,,,
2,4b791a6d58594cd926e913495b694ca966c963497d4934cd1ecd47c9276d20c6,https://ngmdb.usgs.gov/Prodesc/proddesc_10267.htm,Download,10267,21149,,,,,
2,35984ff947c94dd959d91bd931d131a18e6113c54995430d13eb50e664e530e5,https://ngmdb.usgs.gov/Prodesc/proddesc_10288.htm,Download,10288,1328,,,,,
2,88e14ee9368972892a39309930c93adb769b6899295b252b2adb809b6309030d,https://ngmdb.usgs.gov/Prodesc/proddesc_52740.htm,Download,52740,40580,,,,,
2,088a2cce276423e62bc63be611fa10bc38ce10d7107b32733a133a06392d6013,https://ngmdb.usgs.gov/Prodesc/proddesc_52741.htm,Download,52741,40581,,,,,
2,6e99263d5c331c3772977a3718571e1919b10df54735c0f10558015b017b00e0,https://ngmdb.usgs.gov/Prodesc/proddesc_22335.htm,Download,22335,21734,,,,,
3,324c32cbb619b22cb2dba67b24ea27caa65aa7ef21cf38caaafaaaa2aab2a0f1,https://ngmdb.usgs.gov/Prodesc/proddesc_10301.htm,Download,10301,18166,yes,yes,Result Download,Result Download,
3,5b0d4b051ed56ed16f19621b40db21fb4fdb4d995559554b554b574b554b26d3,https://ngmdb.usgs.gov/Prodesc/proddesc_13052.htm,Download,13052,70,,,,,
3,610a654b653d10e921e90f7d3d2d348d741d543d30ff01ad0f11073320f3b8d1,https://ngmdb.usgs.gov/Prodesc/proddesc_112084.htm,Download,112084,67434,,,,,
3,6cc658764c3f0c0d0c4558471c97319669b631c709f50b2129294d296d3102f4,https://ngmdb.usgs.gov/Prodesc/proddesc_10004.htm,Download,10004,2,,,,,
3,63286b2d3ba90fbb27aa536b4b23690127a30be34b290f4b0d2e718e72ca0cec,https://ngmdb.usgs.gov/Prodesc/proddesc_10242.htm,Download,10242,42,yes,yes,Result Download,Result Download,
3,2c602469286529242a512b312a132e7130e10ce38535013968e71493c46bc844,https://ngmdb.usgs.gov/Prodesc/proddesc_1399.htm,Download,1399,38076,yes,yes,Result Download,Result Download,
3,60010ccd016e0dae099e018e052f09ad09ad0bad018d118d0abd1aad10ad6101,https://ngmdb.usgs.gov/Prodesc/proddesc_2317.htm,Download,2317,24497,,,,,
3,60850b59075f06df0c9f1d3f1c7f1dff171f1fd913fd151d1059179d55a94251,https://ngmdb.usgs.gov/Prodesc/proddesc_2317.htm,Download,2317,24494,,,,,
3,37c63fc61d373f072f862f0627c627e727c6374e17c627162f062e066e46f1d8,https://ngmdb.usgs.gov/Prodesc/proddesc_20459.htm,Download,20459,29027,,,,,
3,229632973297399638163e1632161316019607960f960b16129e163e263661d8,https://ngmdb.usgs.gov/Prodesc/proddesc_20459.htm,Download,20459,29028,,,,,
3,330e339d3b0d335d26bd263d361d361d270d264e161e375e274e2f5e0b5e9198,https://ngmdb.usgs.gov/Prodesc/proddesc_20459.htm,Download,20459,29025,,,,,
3,735e1a5d6b1d670d634d734d334d314d711d319e71363336307630763166c198,https://ngmdb.usgs.gov/Prodesc/proddesc_20459.htm,Download,20459,29026,,,,,
3,60e9008300660046009c0b38027904b100e889eb83d383d319a833205b0e420c,https://ngmdb.usgs.gov/Prodesc/proddesc_25499.htm,Download,25499,38153,,,,,
3,42a3059d164f1b3e09be0d5e062e05af13af19ad146d121d154d156d15cd4889,https://ngmdb.usgs.gov/Prodesc/proddesc_2507.htm,Download,2507,25631,,,,,
3,68d119cd0b4f039f117b10bf123b112f146f163d18cd0d6d0b0d090d74956261,https://ngmdb.usgs.gov/Prodesc/proddesc_2504.htm,Download,2504,25614,,,,,
3,1091126d032e10db122b09af16cf072f138f09cd056d1a6d1c6d166d54956249,https://ngmdb.usgs.gov/Prodesc/proddesc_2505.htm,Download,2505,25619,,,,,
3,684119ad13af133f127b1acf186f1e2d17ad128d122d164d133d1b3d14856201,https://ngmdb.usgs.gov/Prodesc/proddesc_2313.htm,Download,2313,24481,,,,,
3,12b51d8d120f1a1f16bf13bf139f171d119d198d095d1d4d1d5d176d148d6041,https://ngmdb.usgs.gov/Prodesc/proddesc_2367.htm,Download,2367,24691,,,,,
